S1 Table.  Sample names and inferred ancestry/subpopulation assignments from fastStructure analysis for 544 Oryza accessions run with the C7AIR.,,,,,,,,,
Accession,Pop1,Pop2,Pop3,Pop4,Pop5,Pop6,Pop assignment,Species,Group name
202381670036R01C01,0.000398,0.000398,0.862762,0.000398,0.135646,0.000398,3,O.sativa,Indica
202381670036R01C02,0.000398,0.000398,0.806331,0.000398,0.000399,0.192076,3,O.sativa,Indica
202381670036R02C01,0.000398,0.000398,0.939965,0.000398,0.058443,0.000399,3,O.sativa,Indica
202381670036R02C02,0.000398,0.000398,0.998008,0.000398,0.000399,0.000399,3,O.sativa,Indica
202381670036R03C01,0.000398,0.000398,0.774942,0.000398,0.223466,0.000398,3,O.sativa,Indica
202381670036R03C02,0.000398,0.000398,0.998009,0.000398,0.000399,0.000398,3,O.sativa,Indica
202381670036R04C01,0.000397,0.000398,0.983069,0.000398,0.000398,0.01534,3,O.sativa,Indica
202381670036R04C02,0.000398,0.000398,0.882649,0.000398,0.000399,0.115758,3,O.sativa,Indica
202381670036R05C01,0.000398,0.000398,0.806307,0.000398,0.192101,0.000398,3,O.sativa,Indica
202381670036R05C02,0.000398,0.000398,0.998009,0.000398,0.000399,0.000399,3,O.sativa,Indica
202381670036R06C01,0.000397,0.000398,0.998011,0.000398,0.000398,0.000398,3,O.sativa,Indica
202381670036R06C02,0.000398,0.000398,0.920456,0.000398,0.077951,0.000399,3,O.sativa,Indica
202381670036R07C01,0.000398,0.000398,0.929355,0.000398,0.069052,0.000399,3,O.sativa,Indica
202381670036R07C02,0.000398,0.000398,0.959917,0.000398,0.000398,0.038491,3,O.sativa,Indica
202381670036R08C01,0.000398,0.000398,0.99801,0.000398,0.000398,0.000398,3,O.sativa,Indica
202381670036R08C02,0.000398,0.000398,0.903044,0.000398,0.000399,0.095363,3,O.sativa,Indica
202381670036R09C01,0.000398,0.000398,0.82347,0.000398,0.174937,0.000398,3,O.sativa,Indica
202381670036R09C02,0.000398,0.000398,0.888035,0.000398,0.110372,0.000399,3,O.sativa,Indica
202381670036R10C01,0.000397,0.000398,0.998012,0.000398,0.000398,0.000398,3,O.sativa,Indica
202381670036R10C02,0.000398,0.000398,0.863983,0.000398,0.134424,0.000398,3,O.sativa,Indica
202381670036R11C01,0.000397,0.000398,0.99801,0.000398,0.000398,0.000398,3,O.sativa,Indica
202381670036R11C02,0.000398,0.000399,0.998007,0.000398,0.000399,0.000399,3,O.sativa,Indica
202381670036R12C01,0.000397,0.000398,0.998011,0.000398,0.000398,0.000398,3,O.sativa,Indica
AcharDhog,0.000398,0.000398,0.770774,0.000398,0.227633,0.000399,3,O.sativa,Indica
AiChuehTaPaiKu,0.000398,0.000398,0.676814,0.000398,0.321594,0.000398,3,O.sativa,Indica
Akabona,0.151155,0.000398,0.643104,0.000398,0.204545,0.000398,3,O.sativa,Indica
AkTohum,0.000398,0.000398,0.522856,0.475551,0.000398,0.000398,3,O.sativa,Indica
AliCombo,0.000398,0.000398,0.649202,0.000398,0.000399,0.349205,3,O.sativa,Indica
AliComboRep,0.000398,0.000398,0.649202,0.000398,0.000399,0.349205,3,O.sativa,Indica
Angkrang,0.000398,0.000398,0.658698,0.000398,0.33971,0.000399,3,O.sativa,Indica
ARC10638,0.000398,0.000398,0.500198,0.000398,0.000398,0.498209,3,O.sativa,Indica
ARC11611,0.000398,0.000398,0.794585,0.000398,0.203823,0.000398,3,O.sativa,Indica
AshKataAus,0.000398,0.000398,0.605749,0.000398,0.000398,0.392658,3,O.sativa,Indica
Aus8,0.156443,0.000398,0.725853,0.000398,0.116508,0.000399,3,O.sativa,Indica
AzRos1646,0.000398,0.000398,0.637923,0.000398,0.360484,0.000398,3,O.sativa,Indica
Bengawan,0.000398,0.000398,0.529227,0.000398,0.469181,0.000399,3,O.sativa,Indica
Caloro,0.000398,0.000398,0.751106,0.000398,0.247302,0.000399,3,O.sativa,Indica
Cat1747,0.000398,0.000398,0.703052,0.000398,0.295356,0.000399,3,O.sativa,Indica
Ciherang,0.000398,0.000398,0.926775,0.000398,0.071633,0.000398,3,O.sativa,Indica
CiherangSub1,0.000398,0.000398,0.926775,0.000398,0.071633,0.000398,3,O.sativa,Indica
CiherangSub1AG1,0.000398,0.000398,0.998008,0.000398,0.000399,0.000399,3,O.sativa,Indica
DieebecaBatVros3716,0.000398,0.000398,0.749528,0.000398,0.000399,0.248879,3,O.sativa,Indica
EarlyNo1,0.000398,0.000398,0.68505,0.000398,0.313357,0.000399,3,O.sativa,Indica
GendjahBanten,0.000398,0.000398,0.65874,0.000398,0.339668,0.000399,3,O.sativa,Indica
GuanicagustSoclriMasayensnif,0.000398,0.000398,0.937397,0.000398,0.000399,0.061011,3,O.sativa,Indica
Hassawi,0.000398,0.000398,0.672394,0.000399,0.000399,0.326013,3,O.sativa,Indica
HeoTrang,0.000398,0.000398,0.64805,0.000399,0.350357,0.000398,3,O.sativa,Indica
HZROS637,0.000398,0.000398,0.792298,0.000398,0.20611,0.000399,3,O.sativa,Indica
I363,0.000398,0.000398,0.998009,0.000398,0.000399,0.000399,3,O.sativa,Indica
INTENSIVNYJ,0.000398,0.000398,0.619886,0.000398,0.245951,0.132969,3,O.sativa,Indica
IR42,0.000397,0.000398,0.581945,0.000398,0.416463,0.000398,3,O.sativa,Indica
IR64,0.000396,0.000397,0.998015,0.000397,0.000397,0.000397,3,O.sativa,Indica
IR64AG1,0.000397,0.000397,0.998014,0.000397,0.000397,0.000397,3,O.sativa,Indica
IR64Beaumont,0.000396,0.000397,0.998015,0.000397,0.000397,0.000397,3,O.sativa,Indica
IR64IRRI,0.000396,0.000397,0.998015,0.000397,0.000397,0.000397,3,O.sativa,Indica
IR64Sub1,0.000396,0.000397,0.998015,0.000397,0.000397,0.000397,3,O.sativa,Indica
IR64Sub1rep,0.000396,0.000397,0.998015,0.000397,0.000397,0.000397,3,O.sativa,Indica
Janeri,0.000398,0.000398,0.998009,0.000398,0.000399,0.000398,3,O.sativa,Indica
Jayanthi,0.000398,0.000398,0.759341,0.000398,0.239067,0.000399,3,O.sativa,Indica
JhingaSail,0.000397,0.000398,0.998011,0.000398,0.000398,0.000398,3,O.sativa,Indica
JiraShahi,0.000398,0.000398,0.771308,0.000398,0.2271,0.000398,3,O.sativa,Indica
Juppa,0.000398,0.000398,0.593443,0.000398,0.000399,0.404965,3,O.sativa,Indica
Kasakstanica,0.000398,0.000398,0.851484,0.000398,0.146923,0.000399,3,O.sativa,Indica
KerrSail,0.000398,0.000398,0.602812,0.000398,0.181615,0.21438,3,O.sativa,Indica
KinShanZim,0.000398,0.000398,0.619965,0.000398,0.378442,0.000399,3,O.sativa,Indica
Kirak,0.000398,0.000398,0.735407,0.000398,0.263001,0.000399,3,O.sativa,Indica
KnownKros358,0.000398,0.000398,0.780717,0.000398,0.217691,0.000398,3,O.sativa,Indica
Lantjang,0.000398,0.000398,0.630362,0.000398,0.368046,0.000398,3,O.sativa,Indica
Latisail,0.000398,0.000398,0.80945,0.000398,0.188958,0.000399,3,O.sativa,Indica
Mala,0.000398,0.000398,0.858643,0.000398,0.139764,0.000398,3,O.glaberrima,Indica
MayangKhang,0.000398,0.000398,0.736471,0.000398,0.261937,0.000399,3,O.sativa,Indica
