S1 Table.  Sample names and inferred ancestry/subpopulation assignments from fastStructure analysis for 544 Oryza accessions run with the C7AIR.,,,,,,,,,
Accession,Pop1,Pop2,Pop3,Pop4,Pop5,Pop6,Pop assignment,Species,Group name
SafutKhosha,0.000397,0.000398,0.000398,0.000398,0.000398,0.998011,6,O.sativa,Aus
Sathra,0.000398,0.000398,0.000398,0.000398,0.000399,0.998009,6,O.sativa,Aus
ShevkatiKundry,0.000398,0.000398,0.000398,0.000398,0.000399,0.99801,6,O.sativa,Aus
Shirkati,0.000398,0.000398,0.000398,0.000398,0.000399,0.99801,6,O.sativa,Aus
Shoni,0.000398,0.000398,0.000398,0.000398,0.167781,0.830627,6,O.sativa,Aus
Sirkat,0.000398,0.000398,0.000398,0.30175,0.000399,0.696658,6,O.sativa,Aus
SpinMere,0.000398,0.000398,0.000398,0.000398,0.000398,0.99801,6,O.sativa,Aus
SubdiChroaKoraMuazahTolinsty,0.000398,0.000398,0.000398,0.000398,0.000398,0.99801,6,O.sativa,Aus
Sufaida,0.000398,0.000398,0.000398,0.000398,0.000399,0.99801,6,O.sativa,Aus
Sugdasi,0.000397,0.000398,0.000398,0.000398,0.000399,0.99801,6,O.sativa,Aus
TOg7174,0.000398,0.000398,0.149595,0.000398,0.000398,0.848813,6,O.glaberrima,Aus
Torh,0.000398,0.000398,0.44137,0.000398,0.000398,0.557037,6,O.sativa,Aus
TrandeupKandir,0.000397,0.000398,0.000398,0.000398,0.000399,0.99801,6,O.sativa,Aus
WAB450243P381HB,0.137959,0.000398,0.091321,0.000398,0.20413,0.565793,6,Oryza hybrid,Aus
WG0252580DNAA06,0.000398,0.000398,0.000398,0.000398,0.000398,0.99801,6,O.sativa,Aus
WG0252580DNAA08,0.000397,0.000398,0.000398,0.000398,0.000398,0.99801,6,O.sativa,Aus
WG0252580DNAB06,0.000398,0.000398,0.000398,0.000398,0.000399,0.99801,6,O.sativa,Aus
WG0252580DNAC05,0.000398,0.000398,0.204624,0.000398,0.157882,0.636299,6,O.nivara,Aus
WG0252580DNAC10,0.000397,0.000398,0.000398,0.000398,0.000398,0.99801,6,O.sativa,Aus
WG0252580DNAD05,0.000398,0.000398,0.000398,0.000398,0.000398,0.99801,6,O.rufipogon,Aus
WG0252580DNAD06,0.000398,0.000398,0.000398,0.000398,0.000399,0.99801,6,O.sativa,Aus
WG0252580DNAD08,0.000398,0.000398,0.000398,0.000398,0.000398,0.99801,6,O.rufipogon,Aus
WG0252580DNAD09,0.000397,0.000398,0.000398,0.000398,0.000398,0.99801,6,O.sativa,Aus
WG0252580DNAG05,0.000398,0.278985,0.324413,0.000398,0.000399,0.395408,6,O.rufipogon,Aus
WG0252580DNAH06,0.000397,0.000398,0.000398,0.000398,0.000398,0.99801,6,O.sativa,Aus
WG0252580DNAH07,0.000399,0.000398,0.21143,0.029717,0.242382,0.515674,6,O.glaberrima,Aus
Y2272,0.000398,0.000398,0.000398,0.000398,0.000399,0.998009,6,O.sativa,Aus
Ziri,0.000398,0.000398,0.000398,0.000398,0.303289,0.695119,6,O.sativa,Aus
