title,url,stars,name,reviewUrl,text,publishedAtDate
Sedjati Coffee & Eatery,https://www.google.com/maps/search/?api=1&query=Sedjati%20Coffee%20%26%20Eatery&query_place_id=ChIJKwRaqmbraS4RBvYho_9rWCI,1.0,Nur Aprilianti,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNUMTc3bHJBRRAB!2m1!1s0x0:0x22586bffa321f606!3m1!1s2@1:CIHM0ogKEICAgICT177lrAE%7CCgwInM6rsgYQgOHflQI%7C?hl=id,,2024-05-20T06:01:00.582Z
SEIKOU COFFEE,https://www.google.com/maps/search/?api=1&query=SEIKOU%20COFFEE&query_place_id=ChIJmXnqYPXraS4RqTF8IA0Ya54,3.0,Mas Dwi Riawan Putro,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURSOUt1R0lBEAE!2m1!1s0x0:0x9e6b180d207c31a9!3m1!1s2@1:CIHM0ogKEICAgIDR9KuGIA%7CCgwIuZv-oQYQiMmE5AI%7C?hl=id,,2023-04-19T06:44:09.746Z
SEIKOU COFFEE,https://www.google.com/maps/search/?api=1&query=SEIKOU%20COFFEE&query_place_id=ChIJmXnqYPXraS4RqTF8IA0Ya54,1.0,lia anggraini,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNSOW95SFJ3EAE!2m1!1s0x0:0x9e6b180d207c31a9!3m1!1s2@1:CIHM0ogKEICAgICR9oyHRw%7CCgsI3rChoQYQ8KS7JQ%7C?hl=id,pelayanannya ngga banget. ngga bisa berkata kata lagi udh parahhh,2023-04-01T16:14:22.078Z
"Rumah Poetih Resto, Coffee & Wedding Hall",https://www.google.com/maps/search/?api=1&query=Rumah%20Poetih%20Resto%2C%20Coffee%20%26%20Wedding%20Hall&query_place_id=ChIJR0A5xEjpaS4RvsIi6D8vXbQ,3.0,Joko Santoso,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNadTZXQmF3EAE!2m1!1s0x0:0xb45d2f3fe822c2be!3m1!1s2@1:CIHM0ogKEICAgICZu6WBaw%7CCgwIu5CkqAYQ-PD_oAI%7C?hl=id,Lumayan untuk sekitar Depok Citayam Cipayung,2023-09-19T02:32:27.606Z
"Rumah Poetih Resto, Coffee & Wedding Hall",https://www.google.com/maps/search/?api=1&query=Rumah%20Poetih%20Resto%2C%20Coffee%20%26%20Wedding%20Hall&query_place_id=ChIJR0A5xEjpaS4RvsIi6D8vXbQ,3.0,Juniati Darmawanti,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUR4dk9PR0tBEAE!2m1!1s0x0:0xb45d2f3fe822c2be!3m1!1s2@1:CIHM0ogKEICAgIDxvOOGKA%7CCgwI0MzwowYQ4MDA1AM%7C?hl=id,"Dteng kesni krna tmpat'a nyaman
Minuman oke bgt,nasi ayam nya masih enak tapi pas ayam bakar nya dateng,u tau warna ayam'a ijo sumpah itu ijo ayam'a krna gak di bakar cuma di torc doang, byangin msen ayam bkar yg kluar ayam torc
Sjak itu w gk mao balik lgi,pdahal udh niat mao bwa kluarga",2023-06-04T05:51:12.982Z
"Rumah Poetih Resto, Coffee & Wedding Hall",https://www.google.com/maps/search/?api=1&query=Rumah%20Poetih%20Resto%2C%20Coffee%20%26%20Wedding%20Hall&query_place_id=ChIJR0A5xEjpaS4RvsIi6D8vXbQ,3.0,Kamila Putri,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURSaUlhMzBRRRAB!2m1!1s0x0:0xb45d2f3fe822c2be!3m1!1s2@1:CIHM0ogKEICAgIDRiIa30QE%7CCgwIw6DvoQYQ-P7k3wI%7C?hl=id,"Makanan standar rasanya , harga lumayan mahal dengan ditambah tax",2023-04-16T10:38:59.737Z
Alon Alon Kopi,https://www.google.com/maps/search/?api=1&query=Alon%20Alon%20Kopi&query_place_id=ChIJ_wyeFN7raS4ReeCvdvNu6xs,1.0,Tommy Indoprabu Negoro,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURlMmVxamZ3EAE!2m1!1s0x0:0x1beb6ef376afe079!3m1!1s2@1:CIHM0ogKEICAgIDe2eqjfw%7CCgwIhaikmgYQ6Oy6lgE%7C?hl=id,Semoga bos wanitanya sampurono dapat balasan jahat juga atas dia menyakiti hati kami selaku customernya yg selalu disana selama ini dan sehingga kami tak mau lagi kesana,2022-10-14T07:47:17.315Z
SEIKOU COFFEE,https://www.google.com/maps/search/?api=1&query=SEIKOU%20COFFEE&query_place_id=ChIJmXnqYPXraS4RqTF8IA0Ya54,1.0,Miptah Kotak,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQtdS1iMml3RRAB!2m1!1s0x0:0x9e6b180d207c31a9!3m1!1s2@1:CIHM0ogKEICAgID-u-b2iwE%7CCgwInOPSnAYQ0Ni--QE%7C?hl=id,,2022-12-10T16:19:40.523Z
SEIKOU COFFEE,https://www.google.com/maps/search/?api=1&query=SEIKOU%20COFFEE&query_place_id=ChIJmXnqYPXraS4RqTF8IA0Ya54,3.0,Dedi 05,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQta2FDNXZRRRAB!2m1!1s0x0:0x9e6b180d207c31a9!3m1!1s2@1:CIHM0ogKEICAgID-kaC5vQE%7CCgwIr9ClnAYQqMmbxAI%7C?hl=id,Deket rumah,2022-12-02T02:51:27.679Z
ghaWil Cafe & Coffee,https://www.google.com/maps/search/?api=1&query=ghaWil%20Cafe%20%26%20Coffee&query_place_id=ChIJHc6p89LraS4Rgmxb0sPbWfI,3.0,Toyib Iskandar,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUQwbFk2LUtREAE!2m1!1s0x0:0xf259dbc3d25b6c82!3m1!1s2@1:CIHM0ogKEICAgID0lY6-KQ%7CCgwI0p6x7gUQ6O_KugE%7C?hl=id,,2019-11-13T18:45:38.391Z
ghaWil Cafe & Coffee,https://www.google.com/maps/search/?api=1&query=ghaWil%20Cafe%20%26%20Coffee&query_place_id=ChIJHc6p89LraS4Rgmxb0sPbWfI,2.0,Arnold Rajagukguk,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUQwenFxSkt3EAE!2m1!1s0x0:0xf259dbc3d25b6c82!3m1!1s2@1:CIHM0ogKEICAgID0zqqJKw%7CCgwIgqeO7gUQkJHf7AI%7C?hl=id,Menarik sekali lagi?,2019-11-07T03:46:10.764Z
ghaWil Cafe & Coffee,https://www.google.com/maps/search/?api=1&query=ghaWil%20Cafe%20%26%20Coffee&query_place_id=ChIJHc6p89LraS4Rgmxb0sPbWfI,3.0,Ihsan Kelana,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUQwdHB2NkdnEAE!2m1!1s0x0:0xf259dbc3d25b6c82!3m1!1s2@1:CIHM0ogKEICAgID0tpv6Gg%7CCgsI2vmA7gUQ2OSxMA%7C?hl=id,Ok,2019-11-04T14:59:38.101Z
ghaWil Cafe & Coffee,https://www.google.com/maps/search/?api=1&query=ghaWil%20Cafe%20%26%20Coffee&query_place_id=ChIJHc6p89LraS4Rgmxb0sPbWfI,3.0,rachman ali,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQwakw2VXVBRRAB!2m1!1s0x0:0xf259dbc3d25b6c82!3m1!1s2@1:CIHM0ogKEICAgID0jL6UuAE%7CCgwIzK3M7QUQ6PDJ1gE%7C?hl=id,,2019-10-25T15:37:48.450Z
ghaWil Cafe & Coffee,https://www.google.com/maps/search/?api=1&query=ghaWil%20Cafe%20%26%20Coffee&query_place_id=ChIJHc6p89LraS4Rgmxb0sPbWfI,3.0,Erwin Wiryadin,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQwZ09UWDNRRRAB!2m1!1s0x0:0xf259dbc3d25b6c82!3m1!1s2@1:CIHM0ogKEICAgID0gOTX3QE%7CCgwI96Sg7QUQiM2O_AI%7C?hl=id,,2019-10-17T07:04:23.797Z
ghaWil Cafe & Coffee,https://www.google.com/maps/search/?api=1&query=ghaWil%20Cafe%20%26%20Coffee&query_place_id=ChIJHc6p89LraS4Rgmxb0sPbWfI,3.0,Roland Demedis,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUMwdGRlX2FBEAE!2m1!1s0x0:0xf259dbc3d25b6c82!3m1!1s2@1:CIHM0ogKEICAgIC0tde_aA%7CCgwIn53j7AUQ8LqnvwI%7C?hl=id,,2019-10-05T17:10:55.669Z
SEIKOU COFFEE,https://www.google.com/maps/search/?api=1&query=SEIKOU%20COFFEE&query_place_id=ChIJmXnqYPXraS4RqTF8IA0Ya54,1.0,Kania Aryani,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURPdTlYcDBRRRAB!2m1!1s0x0:0x9e6b180d207c31a9!3m1!1s2@1:CIHM0ogKEICAgIDOu9Xp0QE%7CCgwIjvbDlgYQ-N3C8QE%7C?hl=id,,2022-07-15T05:28:46.506Z
