city;;name;lon;lat
Jakarta; Indonesia;Shell;1.067.290.679;-617.868.395
Jakarta; Indonesia;Depot Gas Pertamina;10.672.988.762.043.700;-6.145.293.862.000.650
Jakarta; Indonesia;Pertamina;10.683.458.260.000.000;-613.419.525
Jakarta; Indonesia;SPBU 3414407;10.679.185.117.089.200;-6.131.220.785.322.820
Jakarta; Indonesia;Shell Antasari-1 SOUTH JKT;10.680.836.510.260.900;-6.256.443.578.425.480
Jakarta; Indonesia;SPBU 34. 12401;1.067.966.496.043.160;-6.258.572.356.292.860
Jakarta; Indonesia;Pertamina;10.678.801.643.006.100;-62.442.520.237.280.000
Jakarta; Indonesia;Pertamina;10.687.787.634.256.400;-6.307.562.521.321.250
Jakarta; Indonesia;Pertamina;10.680.853.757.760.700;-6.262.288.040.263.820
Jakarta; Indonesia;;10.690.155.351.293.400;-6.158.550.483.352.660
Jakarta; Indonesia;Pertamina;10.682.258.919.680.700;-6.232.878.044.197.990
Jakarta; Indonesia;Shell Fatmawati-1 SOUTH JKT;10.679.558.380.620.800;-6.289.926.247.871.320
Jakarta; Indonesia;Pertamina;10.679.717.073.557.500;-6.272.130.428.983.830
Jakarta; Indonesia;SPBU 34-13403;10.689.925.791.767.000;-6.238.470.195.087.230
Jakarta; Indonesia;Pertamina;10.690.204.489.999.900;-6.242.709.149.999.990
Jakarta; Indonesia;SPBU 34.10502;10.686.186.424.999.900;-6.172.983.249.999.990
Jakarta; Indonesia;SPBU Pertamina 34-131505;10.687.194.850.883.000;-62.808.217.997.452.100
Jakarta; Indonesia;Pommini;10.687.700.043.203.500;-6.272.058.189.104.090
Jakarta; Indonesia;SPBU 34-14310;10.689.096.415;-61.359.093
Jakarta; Indonesia;Pertamina;10.690.529.410.114.200;-62.139.951.504.589.300
Jakarta; Indonesia;Shell Cipinang-1 EAST JKT;1.068.796.571.777.500;-6.215.218.691.636.200
Jakarta; Indonesia;SPBU 34-14301;10.686.734.951.012.800;-61.386.290.812.432.400
Jakarta; Indonesia;SPBU Pertamina 34-13506;10.687.949.268.019.600;-6.285.385.253.919.390
Jakarta; Indonesia;Pertamina;10.687.552.858.238.500;-6.306.881.965.236.630
Jakarta; Indonesia;SPBU 34-13202;1.069.033.766.913.100;-61.796.576.671.858.700
Jakarta; Indonesia;Pertamina;10.692.312.543.353.300;-6.206.486.226.529.820
Jakarta; Indonesia;Shell Sunter UT-1 NORTH JAKARTA;10.687.899.582.176.900;-6.138.403.815.690.500
Jakarta; Indonesia;Pertamini;10.687.146.725;-628.430.395
Jakarta; Indonesia;SPBU 34-14307;10.688.572.165.400.300;-6.146.649.840.703.590
Jakarta; Indonesia;SPBU 34-14306;10.687.373.440.000.000;-61.464.211
Jakarta; Indonesia;SPBU 34-14305;10.687.533.953.792.100;-6.162.105.405.148.930
Jakarta; Indonesia;Shell Soepomo-1 SOUTH JKT;10.684.696.360.906.700;-6.231.168.446.461.160
Jakarta; Indonesia;SPBU 34.12901;1.068.443.660.550.390;-6.213.009.381.999.700
Jakarta; Indonesia;SPBU Kwitang;10.684.360.210.000.000;-618.501.165
Jakarta; Indonesia;SPBU SHELL;10.686.482.867.519.900;-61.706.368.221.636.900
Jakarta; Indonesia;SPBU 34.10605;10.685.363.214.431.000;-6.174.060.099.985.670
Jakarta; Indonesia;;1.068.898.484.755.850;-63.396.057.456.531.200
Jakarta; Indonesia;Pertamina;10.675.673.918.451.300;-6.261.711.530.462.060
Jakarta; Indonesia;Pertamina;1.067.529.935;-6.236.986.099.999.990
Jakarta; Indonesia;Pertamina;10.679.789.627.128.400;-619.361.312.457.594
Jakarta; Indonesia;SPBU 34-13604 Pertamina;10.686.381.652.768.900;-6.257.135.493.214.480
Jakarta; Indonesia;SPBU 3410301;10.682.825.316.860.200;-6.191.445.896.105.750
Jakarta; Indonesia;Shell V-Power;10.675.306.934.338.800;-6.112.675.036.190.620
Jakarta; Indonesia;Pertamina;10.674.111.120.000.000;-61.062.811
Jakarta; Indonesia;Pertamina 33-142-01;10.691.673.195.517.300;-6.148.510.791.389.970
Jakarta; Indonesia;Pertamina;10.685.248.555.469.300;-624.259.147.538.129
Jakarta; Indonesia;SPBU 34.102.06;10.679.729.213.799.500;-6.229.029.689.804.980
Jakarta; Indonesia;;10.680.422.645.000.000;-612.165.245
Jakarta; Indonesia;Pertamina 34-14208;10.689.509.840.891.400;-614.517.566.828.413
Jakarta; Indonesia;Pertamina 34-14210;10.689.670.523.281.900;-6.146.995.466.880.960
