No,Nama Akun,Link Post,Tipe Post,Tanggal,Durasi,View,Like,Comment,Saved,Share,Kategori,Tipe Konten,Sub Tipe Konten,Jumlah Foto
613,perpustakaanuinsa,https://www.tiktok.com/@perpustakaanuinsa/video/7291399658557984005?is_from_webapp=1&sender_device=pc,Video,19-Oct-2023,0:00:16,523,28,0,0,4,Acara dan Kegiatan,Entertaining,Hari Peringatan,
635,perpustakaanuinsa,https://www.tiktok.com/@perpustakaanuinsa/video/7224577546925509914?is_from_webapp=1&sender_device=pc,Video,22-Apr-2023,0:00:23,363,30,0,0,0,Acara dan Kegiatan,Informational,Hari Peringatan,
654,perpustakaanuinsa,https://www.tiktok.com/@perpustakaanuinsa/video/7197244119809395995?is_from_webapp=1&sender_device=pc,Video,7-Feb-2023,0:00:40,664,21,0,1,2,Acara dan Kegiatan,Informational,Hari Peringatan,
659,perpustakaanuinsa,https://www.tiktok.com/@perpustakaanuinsa/video/7159373196045618459?is_from_webapp=1&sender_device=pc,Video,28-Oct-2022,0:00:15,113,3,0,0,0,Acara dan Kegiatan,Informational,Hari Peringatan,
671,perpustakaanuinsa,https://www.tiktok.com/@perpustakaanuinsa/video/7126065186963803418?is_from_webapp=1&sender_device=pc,Video,30-Jul-2022,0:00:09,285,32,2,2,0,Acara dan Kegiatan,Informational,Hari Peringatan,
674,perpustakaanuinsa,https://www.tiktok.com/@perpustakaanuinsa/video/7117533797339385115?is_from_webapp=1&sender_device=pc,Video,7-Jul-2022,0:00:19,194,17,0,0,0,Acara dan Kegiatan,Entertaining,Hari Peringatan,
685,perpustakaanuinsa,https://www.tiktok.com/@perpustakaanuinsa/video/7088983182875331867?is_from_webapp=1&sender_device=pc,Video,21-Apr-2022,0:00:32,164,9,2,0,7,Acara dan Kegiatan,Entertaining,Hari Peringatan,
686,perpustakaanuinsa,https://www.tiktok.com/@perpustakaanuinsa/video/7076002804619398427?is_from_webapp=1&sender_device=pc,Video,17-Mar-2022,0:00:51,133,11,1,0,2,Acara dan Kegiatan,Entertaining,Hari Peringatan,
694,usakti_library,https://www.tiktok.com/@usakti_library/video/7421183279136623877?is_from_webapp=1&sender_device=pc,Video,2-Oct-2024,0:00:33,5033,704,5,12,12,Acara dan Kegiatan,Entertaining,Hari Peringatan,
712,usakti_library,https://www.tiktok.com/@usakti_library/video/7385012125363604743?is_from_webapp=1&sender_device=pc,Video,27-Jun-2024,0:01:34,772,12,3,0,4,Acara dan Kegiatan,Entertaining,Hari Peringatan,
723,usakti_library,https://www.tiktok.com/@usakti_library/video/7354198553914297606?is_from_webapp=1&sender_device=pc,Video,5-Apr-2024,0:00:23,781,12,0,0,4,Acara dan Kegiatan,Entertaining,Hari Peringatan,
747,ui_library,https://www.tiktok.com/@ui_library/video/7355850954069019910?is_from_webapp=1&sender_device=pc,Video,9-Apr-2024,0:01:50,950,24,0,2,0,Acara dan Kegiatan,Informational,Hari Peringatan,
755,ui_library,https://www.tiktok.com/@ui_library/video/7224488902780865819?is_from_webapp=1&sender_device=pc,Video,21-May-2023,0:01:09,1247,24,0,0,0,Acara dan Kegiatan,Informational,Hari Peringatan,
756,ui_library,https://www.tiktok.com/@ui_library/video/7213958782194355482?is_from_webapp=1&sender_device=pc,Video,24-Mar-2023,0:01:01,2254,51,0,1,3,Acara dan Kegiatan,Entertaining,Hari Peringatan,
776,perpustakaan.um,https://www.tiktok.com/@perpustakaan.um/video/7446596414873947397?is_from_webapp=1&sender_device=pc,Video,10-Dec-2024,0:01:05,77,6,0,0,0,Acara dan Kegiatan,Entertaining,Hari Peringatan,
816,perpustakaan.um,https://www.tiktok.com/@perpustakaan.um/video/7358299301124082949?is_from_webapp=1&sender_device=pc,Video,16-Apr-2024,0:00:43,117,7,0,0,0,Acara dan Kegiatan,Relational,Hari Peringatan,
860,usulibrary,https://www.tiktok.com/@usulibrary/video/7354367906165099781?is_from_webapp=1&sender_device=pc,Video,5-Apr-2024,0:02:21,423,15,0,0,0,Acara dan Kegiatan,Entertaining,Hari Peringatan,
864,usulibrary,https://www.tiktok.com/@usulibrary/video/7318809021366979846?is_from_webapp=1&sender_device=pc,Video,1-Jan-2024,0:00:17,1183,34,0,1,2,Acara dan Kegiatan,Entertaining,Hari Peringatan,
914,perpusums,https://www.tiktok.com/@perpusums/video/7094409992442350875?is_from_webapp=1&sender_device=pc,Video,6-May-2022,0:00:40,124,4,0,0,0,Acara dan Kegiatan,Entertaining,Hari Peringatan,
929,uncenlibrary,https://www.tiktok.com/@uncenlibrary/video/7441028062960962872?is_from_webapp=1&sender_device=pc,Video,25-Nov-2024,0:00:07,198,2,0,0,0,Acara dan Kegiatan,Entertaining,Hari Peringatan,
950,uncenlibrary,https://www.tiktok.com/@uncenlibrary/photo/7375434716696104198?is_from_webapp=1&sender_device=pc,Foto,1-Jun-2024,0:00:00,598,3,0,0,0,Acara dan Kegiatan,Entertaining,Hari Peringatan,1
953,uncenlibrary,https://www.tiktok.com/@uncenlibrary/photo/7364656714555133189?is_from_webapp=1&sender_device=pc,Foto,3-May-2024,0:00:00,672,13,0,0,0,Acara dan Kegiatan,Informational,Hari Peringatan,4
959,uncenlibrary,https://www.tiktok.com/@uncenlibrary/video/7360190527813291270?is_from_webapp=1&sender_device=pc,Video,21-Apr-2024,0:00:22,46,6,0,0,0,Acara dan Kegiatan,Entertaining,Hari Peringatan,
961,uncenlibrary,https://www.tiktok.com/@uncenlibrary/photo/7355853046297005317?is_from_webapp=1&sender_device=pc,Foto,9-Apr-2024,0:00:00,382,5,0,0,0,Acara dan Kegiatan,Informational,Hari Peringatan,1
990,perpustakaanuaa,https://www.tiktok.com/@perpustakaanuaa/photo/7292387290784025861?is_from_webapp=1&sender_device=pc,Foto,21-Oct-2023,0:00:00,335,3,0,0,0,Acara dan Kegiatan,Informational,Hari Peringatan,1
1004,perpustakaan.pnm,https://www.tiktok.com/@perpustakaan.pnm/video/7435667595954638136?is_from_webapp=1&sender_device=pc,Video,10-Nov-2024,0:00:27,209,7,0,0,1,Acara dan Kegiatan,Informational,Hari Peringatan,
1006,perpustakaan.pnm,https://www.tiktok.com/@perpustakaan.pnm/video/7432298293109034246?is_from_webapp=1&sender_device=pc,Video,1-Nov-2024,0:00:37,413,4,0,0,0,Acara dan Kegiatan,Entertaining,Hari Peringatan,
1007,perpustakaan.pnm,https://www.tiktok.com/@perpustakaan.pnm/video/7430769446878186770?is_from_webapp=1&sender_device=pc,Video,28-Oct-2024,0:00:47,601,6,0,0,0,Acara dan Kegiatan,Entertaining,Hari Peringatan,
1009,perpustakaan.pnm,https://www.tiktok.com/@perpustakaan.pnm/photo/7424903337688009990?is_from_webapp=1&sender_device=pc,Foto,12-Oct-2024,0:00:00,222,2,0,0,0,Acara dan Kegiatan,Informational,Hari Peringatan,1
1013,perpustakaan.pnm,https://www.tiktok.com/@perpustakaan.pnm/video/7415164361657879814?is_from_webapp=1&sender_device=pc,Video,16-Sep-2024,0:00:30,612,44,0,1,1,Acara dan Kegiatan,Informational,Hari Peringatan,
1014,perpustakaan.pnm,https://www.tiktok.com/@perpustakaan.pnm/video/7414442831625915653?is_from_webapp=1&sender_device=pc,Video,14-Sep-2024,0:00:33,114000,103,0,0,1,Acara dan Kegiatan,Informational,Hari Peringatan,
1017,perpustakaan.pnm,https://www.tiktok.com/@perpustakaan.pnm/photo/7404121978849725702?is_from_webapp=1&sender_device=pc,Foto,17-Aug-2024,0:00:00,55,2,0,0,0,Acara dan Kegiatan,Entertaining,Hari Peringatan,7
1022,perpustakaan.pnm,https://www.tiktok.com/@perpustakaan.pnm/video/7381084080873475334?is_from_webapp=1&sender_device=pc,Video,16-Jun-2024,0:00:27,212,1,0,0,0,Acara dan Kegiatan,Informational,Hari Peringatan,
1024,perpustakaan.pnm,https://www.tiktok.com/@perpustakaan.pnm/photo/7364259483796655365?is_from_webapp=1&sender_device=pc,Foto,2-May-2024,0:00:00,429,1,0,1,0,Acara dan Kegiatan,Informational,Hari Peringatan,1
1025,perpustakaan.pnm,https://www.tiktok.com/@perpustakaan.pnm/photo/7360236220409974021?is_from_webapp=1&sender_device=pc,Foto,21-Apr-2024,0:00:00,1317,13,0,1,0,Acara dan Kegiatan,Informational,Hari Peringatan,1
1026,perpustakaan.pnm,https://www.tiktok.com/@perpustakaan.pnm/video/7356419913671625990?is_from_webapp=1&sender_device=pc,Video,11-Apr-2024,0:00:51,7,1,0,0,0,Acara dan Kegiatan,Entertaining,Hari Peringatan,
1109,perpustakaan_ugm,https://www.tiktok.com/@perpustakaan_ugm/video/7143040186992037147?is_from_webapp=1&sender_device=pc,Video,14-Sep-2022,0:00:20,411,3,0,0,0,Acara dan Kegiatan,Informational,Hari Peringatan,
1123,ummlibrary,https://www.tiktok.com/@ummlibrary/video/7132333337821154587?is_from_webapp=1&sender_device=pc,Video,16-Aug-2022,0:01:47,365,12,1,0,5,Acara dan Kegiatan,Entertaining,Hari Peringatan,
1127,ummlibrary,https://www.tiktok.com/@ummlibrary/video/7044314782127639835?is_from_webapp=1&sender_device=pc,Video,22-Dec-2021,0:00:14,78,0,0,0,0,Acara dan Kegiatan,Informational,Hari Peringatan,
1128,ummlibrary,https://www.tiktok.com/@ummlibrary/video/7034437031996443930?is_from_webapp=1&sender_device=pc,Video,25-Nov-2021,0:00:29,66,0,0,0,1,Acara dan Kegiatan,Informational,Hari Peringatan,
1129,ummlibrary,https://www.tiktok.com/@ummlibrary/video/7028854764389649691?is_from_webapp=1&sender_device=pc,Video,10-Nov-2021,0:00:47,147,6,0,0,0,Acara dan Kegiatan,Informational,Hari Peringatan,
1189,lib.unand,https://www.tiktok.com/@lib.unand/video/7355926954798763269?is_from_webapp=1&sender_device=pc,Video,10-Apr-2024,0:00:43,917,38,0,0,0,Acara dan Kegiatan,Informational,Hari Peringatan,
1193,lib.unand,https://www.tiktok.com/@lib.unand/video/7268088774364499206?is_from_webapp=1&sender_device=pc,Video,17-Aug-2023,0:00:12,791,9,0,0,0,Acara dan Kegiatan,Informational,Hari Peringatan,
1217,perpustakaanunikhams,https://www.tiktok.com/@perpustakaanunikhams/photo/7435488620183604535?is_from_webapp=1&sender_device=pc,Foto,10-Nov-2024,0:00:00,107,7,0,2,0,Acara dan Kegiatan,Informational,Hari Peringatan,1
1263,perpustakaan_umy,https://www.tiktok.com/@perpustakaan_umy/video/7356575500682267909?is_from_webapp=1&sender_device=pc,Video,11-Apr-2024,0:00:34,274,6,0,0,0,Acara dan Kegiatan,Informational,Hari Peringatan,
1359,perpustakaan_umy,https://www.tiktok.com/@perpustakaan_umy/video/6997022505118584091?is_from_webapp=1&sender_device=pc,Video,16-Aug-2021,0:00:39,128,2,0,0,0,Acara dan Kegiatan,Informational,Hari Peringatan,
1428,unaslibrary,https://www.tiktok.com/@unaslibrary/video/7415418920439418118?is_from_webapp=1&sender_device=pc,Video,17-Sep-2024,0:00:05,256,1,0,0,1,Acara dan Kegiatan,Informational,Hari Peringatan,
1443,unaslibrary,https://www.tiktok.com/@unaslibrary/video/7360964792770661637?is_from_webapp=1&sender_device=pc,Video,23-Apr-2024,0:00:15,649,9,0,1,5,Acara dan Kegiatan,Informational,Hari Peringatan,
7,perpustakaanunmuhjember,https://www.tiktok.com/@perpusunmuhjember/video/7326026966514076933?is_from_webapp=1&sender_device=pc,Video,20-Jan-2024,0:00:18,4385,34,0,0,3,Acara dan Kegiatan,Informational,Kunjungan Perpustakaan,
14,perpustakaanunmuhjember,https://www.tiktok.com/@perpusunmuhjember/video/7206225747092999450?is_from_webapp=1&sender_device=pc,Video,3-Mar-2023,0:00:12,335,6,0,0,0,Acara dan Kegiatan,Informational,Kunjungan Perpustakaan,
35,perpustakaan_pnb,https://www.tiktok.com/@perpustakaan_pnb/photo/7299420307624824070?is_from_webapp=1&sender_device=pc,Foto,9-Nov-2023,0:00:00,2095,40,0,0,1,Acara dan Kegiatan,Informational,Kunjungan Perpustakaan,8
47,perpustakaan_pnb,https://www.tiktok.com/@perpustakaan_pnb/photo/7306108530342366470?is_from_webapp=1&sender_device=pc,Foto,27-Nov-2023,0:00:00,4354,88,0,6,6,Acara dan Kegiatan,Informational,Kunjungan Perpustakaan,7
131,perpustakaan_pnb,https://www.tiktok.com/@perpustakaan_pnb/video/7358823603694996742?is_from_webapp=1&sender_device=pc,Video,17-Apr-2024,0:00:58,14000,266,11,1,72,Acara dan Kegiatan,Informational,Kunjungan Perpustakaan,
132,perpustakaan_pnb,https://www.tiktok.com/@perpustakaan_pnb/video/7358853703190793478?is_from_webapp=1&sender_device=pc,Video,17-Apr-2024,0:00:21,5868,124,3,0,3,Acara dan Kegiatan,Entertaining,Kunjungan Perpustakaan,
139,perpustakaan_pnb,https://www.tiktok.com/@perpustakaan_pnb/video/7360658867853790469?is_from_webapp=1&sender_device=pc,Video,22-Apr-2024,0:00:33,4525,62,0,0,3,Acara dan Kegiatan,Informational,Kunjungan Perpustakaan,
175,perpustakaan_pnb,https://www.tiktok.com/@perpustakaan_pnb/video/7397708524416978182?is_from_webapp=1&sender_device=pc,Video,31-Jul-2024,0:00:53,2924,96,0,2,7,Acara dan Kegiatan,Informational,Kunjungan Perpustakaan,
253,ublibrary,https://www.tiktok.com/@ublibrary/video/7366468936348568838?is_from_webapp=1&sender_device=pc,Video,8-May-2024,0:00:44,1084,36,0,1,3,Acara dan Kegiatan,Informational,Kunjungan Perpustakaan,
259,ublibrary,https://www.tiktok.com/@ublibrary/video/7361268792325901574?is_from_webapp=1&sender_device=pc,Video,24-Apr-2024,0:00:41,1430,32,3,0,5,Acara dan Kegiatan,Informational,Kunjungan Perpustakaan,
269,ublibrary,https://www.tiktok.com/@ublibrary/video/7314900798666738950?is_from_webapp=1&sender_device=pc,Video,21-Dec-2023,0:00:28,2224,30,1,0,3,Acara dan Kegiatan,Informational,Kunjungan Perpustakaan,
349,unslibrary,https://www.tiktok.com/@unslibrary/photo/7443716835138080056?is_from_webapp=1&sender_device=pc,Foto,2-Dec-2024,0:00:00,375,3,0,0,1,Acara dan Kegiatan,Informational,Kunjungan Perpustakaan,6
350,unslibrary,https://www.tiktok.com/@unslibrary/photo/7430749963526688001?is_from_webapp=1&sender_device=pc,Foto,28-Oct-2024,0:00:00,1005,3,0,0,1,Acara dan Kegiatan,Informational,Kunjungan Perpustakaan,4
355,unslibrary,https://www.tiktok.com/@unslibrary/video/7412976881693248773?is_from_webapp=1&sender_device=pc,Video,10-Sep-2024,0:01:04,1072,15,0,0,3,Acara dan Kegiatan,Informational,Kunjungan Perpustakaan,
362,unslibrary,https://www.tiktok.com/@unslibrary/video/7387338088613170438?is_from_webapp=1&sender_device=pc,Video,3-Jul-2024,0:00:40,1122,14,2,0,6,Acara dan Kegiatan,Informational,Kunjungan Perpustakaan,
365,unslibrary,https://www.tiktok.com/@unslibrary/photo/7377661032119930117?is_from_webapp=1&sender_device=pc,Foto,7-Jun-2024,0:00:00,2678,43,0,4,5,Acara dan Kegiatan,Informational,Kunjungan Perpustakaan,7
370,unslibrary,https://www.tiktok.com/@unslibrary/video/7369472736487394565?is_from_webapp=1&sender_device=pc,Video,16-May-2024,0:00:22,1283,10,0,1,2,Acara dan Kegiatan,Informational,Kunjungan Perpustakaan,
372,unslibrary,https://www.tiktok.com/@unslibrary/video/7363162986376203526?is_from_webapp=1&sender_device=pc,Video,29-Apr-2024,0:00:21,1797,53,0,0,4,Acara dan Kegiatan,Informational,Kunjungan Perpustakaan,
379,unslibrary,https://www.tiktok.com/@unslibrary/video/7346777017922178309?is_from_webapp=1&sender_device=pc,Video,16-Mar-2024,0:00:38,906,8,0,0,1,Acara dan Kegiatan,Informational,Kunjungan Perpustakaan,
380,unslibrary,https://www.tiktok.com/@unslibrary/video/7346772569070095621?is_from_webapp=1&sender_device=pc,Video,16-Mar-2024,0:00:24,1127,5,0,0,0,Acara dan Kegiatan,Informational,Kunjungan Perpustakaan,
388,unslibrary,https://www.tiktok.com/@unslibrary/video/7338731428147956997?is_from_webapp=1&sender_device=pc,Video,23-Feb-2024,0:00:29,1088,12,0,3,6,Acara dan Kegiatan,Informational,Kunjungan Perpustakaan,
389,unslibrary,https://www.tiktok.com/@unslibrary/video/7337631371969531142?is_from_webapp=1&sender_device=pc,Video,20-Feb-2024,0:00:50,480,8,0,2,7,Acara dan Kegiatan,Informational,Kunjungan Perpustakaan,
392,unslibrary,https://www.tiktok.com/@unslibrary/video/7332740201334246662?is_from_webapp=1&sender_device=pc,Video,7-Feb-2024,0:00:34,581,22,0,1,5,Acara dan Kegiatan,Informational,Kunjungan Perpustakaan,
395,unslibrary,https://www.tiktok.com/@unslibrary/video/7327213126888312069?is_from_webapp=1&sender_device=pc,Video,23-Jan-2024,0:00:33,810,9,4,3,2,Acara dan Kegiatan,Informational,Kunjungan Perpustakaan,
399,unslibrary,https://www.tiktok.com/@unslibrary/video/7322395393696812294?is_from_webapp=1&sender_device=pc,Video,10-Jan-2024,0:00:29,9843,142,0,9,19,Acara dan Kegiatan,Informational,Kunjungan Perpustakaan,
550,perpustakaanuinsa,https://www.tiktok.com/@perpustakaanuinsa/video/7435938164793036087?is_from_webapp=1&sender_device=pc,Video,11-Nov-2024,0:00:30,580,7,0,0,1,Acara dan Kegiatan,Informational,Kunjungan Perpustakaan,
559,perpustakaanuinsa,https://www.tiktok.com/@perpustakaanuinsa/video/7398470054729338118?is_from_webapp=1&sender_device=pc,Video,2-Aug-2024,0:00:36,355,6,0,1,4,Acara dan Kegiatan,Informational,Kunjungan Perpustakaan,
621,perpustakaanuinsa,https://www.tiktok.com/@perpustakaanuinsa/video/7274051764049956101?is_from_webapp=1&sender_device=pc,Video,2-Sep-2023,0:00:36,625,16,2,1,1,Acara dan Kegiatan,Informational,Kunjungan Perpustakaan,
628,perpustakaanuinsa,https://www.tiktok.com/@perpustakaanuinsa/video/7249358659350727941?is_from_webapp=1&sender_device=pc,Video,27-Jun-2023,0:01:23,305,6,0,0,0,Acara dan Kegiatan,Informational,Kunjungan Perpustakaan,
642,perpustakaanuinsa,https://www.tiktok.com/@perpustakaanuinsa/video/7212482559110941979?is_from_webapp=1&sender_device=pc,Video,20-Mar-2023,0:00:59,285,11,0,0,0,Acara dan Kegiatan,Informational,Kunjungan Perpustakaan,
653,perpustakaanuinsa,https://www.tiktok.com/@perpustakaanuinsa/video/7198080517864967450?is_from_webapp=1&sender_device=pc,Video,9-Feb-2023,0:00:41,304,8,0,0,0,Acara dan Kegiatan,Informational,Kunjungan Perpustakaan,
655,perpustakaanuinsa,https://www.tiktok.com/@perpustakaanuinsa/video/7196540271729839387?is_from_webapp=1&sender_device=pc,Video,5-Feb-2023,0:00:34,589,3,0,0,0,Acara dan Kegiatan,Informational,Kunjungan Perpustakaan,
657,perpustakaanuinsa,https://www.tiktok.com/@perpustakaanuinsa/video/7189821348556852506?is_from_webapp=1&sender_device=pc,Video,18-Jan-2023,0:01:38,526,24,0,0,1,Acara dan Kegiatan,Informational,Kunjungan Perpustakaan,
681,perpustakaanuinsa,https://www.tiktok.com/@perpustakaanuinsa/video/7098594578294492443?is_from_webapp=1&sender_device=pc,Video,17-May-2022,0:00:10,297,39,1,0,6,Acara dan Kegiatan,Informational,Kunjungan Perpustakaan,
754,ui_library,https://www.tiktok.com/@ui_library/video/7244014245304651013?is_from_webapp=1&sender_device=pc,Video,13-Jun-2023,0:00:46,950,8,0,1,0,Acara dan Kegiatan,Informational,Kunjungan Perpustakaan,
760,ui_library,https://www.tiktok.com/@ui_library/video/7189236941559287066?is_from_webapp=1&sender_device=pc,Video,16-Jan-2023,0:01:37,24600,332,0,38,48,Acara dan Kegiatan,Entertaining,Kunjungan Perpustakaan,
871,usulibrary,https://www.tiktok.com/@usulibrary/video/7200794192124087579?is_from_webapp=1&sender_device=pc,Video,16-Feb-2023,0:01:35,220,1,0,0,0,Acara dan Kegiatan,Informational,Kunjungan Perpustakaan,
887,perpusums,https://www.tiktok.com/@perpusums/video/7244737639163694341?is_from_webapp=1&sender_device=pc,Video,15-Jun-2023,0:00:12,8052,154,6,4,2,Acara dan Kegiatan,Entertaining,Kunjungan Perpustakaan,
918,perpusums,https://www.tiktok.com/@perpusums/video/7078916368036384026?is_from_webapp=1&sender_device=pc,Video,25-Mar-2022,0:01:00,105,5,0,0,0,Acara dan Kegiatan,Informational,Kunjungan Perpustakaan,
919,perpusums,https://www.tiktok.com/@perpusums/video/7063431643125599515?is_from_webapp=1&sender_device=pc,Video,11-Feb-2022,0:00:54,96,3,0,0,0,Acara dan Kegiatan,Informational,Kunjungan Perpustakaan,
920,perpusums,https://www.tiktok.com/@perpusums/video/7062282247495290139?is_from_webapp=1&sender_device=pc,Video,8-Feb-2022,0:00:32,98,6,0,0,2,Acara dan Kegiatan,Informational,Kunjungan Perpustakaan,
921,perpusums,https://www.tiktok.com/@perpusums/video/7058482297141579034?is_from_webapp=1&sender_device=pc,Video,29-Jan-2022,0:00:35,95,3,0,0,0,Acara dan Kegiatan,Informational,Kunjungan Perpustakaan,
922,perpusums,https://www.tiktok.com/@perpusums/video/7055886418832313627?is_from_webapp=1&sender_device=pc,Video,22-Jan-2022,0:00:41,95,3,0,0,0,Acara dan Kegiatan,Informational,Kunjungan Perpustakaan,
935,uncenlibrary,https://www.tiktok.com/@uncenlibrary/photo/7431092058565135623?is_from_webapp=1&sender_device=pc,Foto,29-Oct-2024,0:00:00,685,7,1,0,0,Acara dan Kegiatan,Informational,Kunjungan Perpustakaan,1
964,uncenlibrary,https://www.tiktok.com/@uncenlibrary/photo/7351239890291412229?is_from_webapp=1&sender_device=pc,Foto,28-Mar-2024,0:00:00,277,6,0,0,0,Acara dan Kegiatan,Informational,Kunjungan Perpustakaan,1
975,uncenlibrary,https://www.tiktok.com/@uncenlibrary/video/7332725962238463237?is_from_webapp=1&sender_device=pc,Video,7-Feb-2024,0:00:12,148,5,0,1,0,Acara dan Kegiatan,Informational,Kunjungan Perpustakaan,
1019,perpustakaan.pnm,https://www.tiktok.com/@perpustakaan.pnm/video/7396511918854376710?is_from_webapp=1&sender_device=pc,Video,28-Jul-2024,0:00:45,597,5,0,0,0,Acara dan Kegiatan,Informational,Kunjungan Perpustakaan,
1107,perpustakaan_ugm,https://www.tiktok.com/@perpustakaan_ugm/video/7161641569081249051?is_from_webapp=1&sender_device=pc,Video,3-Nov-2022,0:00:23,488,1,0,0,0,Acara dan Kegiatan,Informational,Kunjungan Perpustakaan,
1182,lib.unand,https://www.tiktok.com/@lib.unand/video/7376245625131650309?is_from_webapp=1&sender_device=pc,Video,3-Jun-2024,0:00:10,832,4,1,0,0,Acara dan Kegiatan,Informational,Kunjungan Perpustakaan,
1238,perpustakaan_umy,https://www.tiktok.com/@perpustakaan_umy/video/7424546677710753030?is_from_webapp=1&sender_device=pc,Video,11-Oct-2024,0:00:56,402,12,1,1,0,Acara dan Kegiatan,Informational,Kunjungan Perpustakaan,
1274,perpustakaan_umy,https://www.tiktok.com/@perpustakaan_umy/video/7341581276085783814?is_from_webapp=1&sender_device=pc,Video,2-Mar-2024,0:00:31,297,5,0,0,0,Acara dan Kegiatan,Informational,Kunjungan Perpustakaan,
1314,perpustakaan_umy,https://www.tiktok.com/@perpustakaan_umy/video/7115240473798774042?is_from_webapp=1&sender_device=pc,Video,1-Jul-2022,0:00:57,224,4,0,0,0,Acara dan Kegiatan,Informational,Kunjungan Perpustakaan,
1328,perpustakaan_umy,https://www.tiktok.com/@perpustakaan_umy/video/7091134875306167579?is_from_webapp=1&sender_device=pc,Video,27-Apr-2022,0:00:56,1322,7,0,0,0,Acara dan Kegiatan,Informational,Kunjungan Perpustakaan,
1400,perpustakaan.unpak,https://www.tiktok.com/@perpustakaan.unpak/video/7417856549470686471?is_from_webapp=1&sender_device=pc,Video,23-Sep-2024,0:00:19,78,5,0,0,2,Acara dan Kegiatan,Informational,Kunjungan Perpustakaan,
1419,unaslibrary,https://www.tiktok.com/@unaslibrary/video/7437425395126881592?is_from_webapp=1&sender_device=pc,Video,15-Nov-2024,0:00:31,459,4,0,0,0,Acara dan Kegiatan,Informational,Kunjungan Perpustakaan,
13,perpustakaanunmuhjember,https://www.tiktok.com/@perpusunmuhjember/video/7208820936340983067?is_from_webapp=1&sender_device=pc,Video,10-Mar-2023,0:01:02,962,3,0,0,0,Acara dan Kegiatan,Informational,Promosi Kegiatan,
33,perpustakaan_pnb,https://www.tiktok.com/@perpustakaan_pnb/video/7298689952710184197?is_from_webapp=1&sender_device=pc,Video,7-Nov-2023,0:00:28,4147,67,0,3,2,Acara dan Kegiatan,Informational,Promosi Kegiatan,
151,perpustakaan_pnb,https://www.tiktok.com/@perpustakaan_pnb/photo/7369606840537140485?is_from_webapp=1&sender_device=pc,Foto,16-May-2024,0:00:00,6340,91,2,4,8,Acara dan Kegiatan,Informational,Promosi Kegiatan,2
218,ublibrary,https://www.tiktok.com/@ublibrary/photo/7436929978773638456?is_from_webapp=1&sender_device=pc,Foto,14-Nov-2024,0:00:00,768,12,0,4,1,Acara dan Kegiatan,Informational,Promosi Kegiatan,1
282,ublibrary,https://www.tiktok.com/@ublibrary/video/7296343479003680005?is_from_webapp=1&sender_device=pc,Video,1-Nov-2023,0:00:34,3012,84,0,2,2,Acara dan Kegiatan,Informational,Promosi Kegiatan,
285,ublibrary,https://www.tiktok.com/@ublibrary/video/7295357456140504326?is_from_webapp=1&sender_device=pc,Video,29-Oct-2023,0:00:50,2405,63,3,7,6,Acara dan Kegiatan,Informational,Promosi Kegiatan,
332,ublibrary,https://www.tiktok.com/@ublibrary/video/7154899691547692315?is_from_webapp=1&sender_device=pc,Video,16-Oct-2022,0:00:35,256,4,0,0,0,Acara dan Kegiatan,Informational,Promosi Kegiatan,
333,ublibrary,https://www.tiktok.com/@ublibrary/video/7153213181677128986?is_from_webapp=1&sender_device=pc,Video,11-Sep-2022,0:00:24,336,3,0,0,0,Acara dan Kegiatan,Informational,Promosi Kegiatan,
384,unslibrary,https://www.tiktok.com/@unslibrary/photo/7343248277304773893?is_from_webapp=1&sender_device=pc,Foto,6-Mar-2024,0:00:00,69500,3331,156,637,667,Acara dan Kegiatan,Informational,Promosi Kegiatan,2
406,perpusulm,https://www.tiktok.com/@perpusulm/video/7275984291488632069?is_from_webapp=1&sender_device=pc,Video,7-Sep-2023,0:00:18,821,3,0,0,0,Acara dan Kegiatan,Informational,Promosi Kegiatan,
429,perpustakaan.tsm,https://www.tiktok.com/@perpustakaan.tsm/video/7415964091635764486?is_from_webapp=1&sender_device=pc,Video,18-Sep-2024,0:00:41,476,15,0,0,0,Acara dan Kegiatan,Informational,Promosi Kegiatan,
430,perpustakaan.tsm,https://www.tiktok.com/@perpustakaan.tsm/video/7415589653627079942?is_from_webapp=1&sender_device=pc,Video,17-Sep-2024,0:00:15,461,14,0,0,4,Acara dan Kegiatan,Informational,Promosi Kegiatan,
476,perpustakaan.tsm,https://www.tiktok.com/@perpustakaan.tsm/video/7348787429953883398?is_from_webapp=1&sender_device=pc,Video,21-Mar-2024,0:00:18,860,25,0,2,2,Acara dan Kegiatan,Informational,Promosi Kegiatan,
477,perpustakaan.tsm,https://www.tiktok.com/@perpustakaan.tsm/video/7348680849006824710?is_from_webapp=1&sender_device=pc,Video,21-Mar-2024,0:00:16,1028,28,0,1,0,Acara dan Kegiatan,Informational,Promosi Kegiatan,
479,perpustakaan.tsm,https://www.tiktok.com/@perpustakaan.tsm/video/7347685305136319749?is_from_webapp=1&sender_device=pc,Video,18-Mar-2024,0:00:30,1698,71,0,32,0,Acara dan Kegiatan,Informational,Promosi Kegiatan,
569,perpustakaanuinsa,https://www.tiktok.com/@perpustakaanuinsa/photo/7376868851159534854?is_from_webapp=1&sender_device=pc,Foto,5-Jun-2024,0:00:00,339,1,0,0,1,Acara dan Kegiatan,Informational,Promosi Kegiatan,3
