No,Nama Akun,Link Post,Tipe Post,Tanggal,Durasi,View,Like,Comment,Saved,Share,Kategori,Tipe Konten,Sub Tipe Konten,Jumlah Foto
93,perpustakaan_pnb,https://www.tiktok.com/@perpustakaan_pnb/video/7332082601408171269?is_from_webapp=1&sender_device=pc,Video,5-Feb-2024,0:00:27,2317,47,4,1,3,Ruang,Relational,Suasana Perpustakaan,
94,perpustakaan_pnb,https://www.tiktok.com/@perpustakaan_pnb/photo/7332826895697906950?is_from_webapp=1&sender_device=pc,Foto,7-Feb-2024,0:00:00,3056,71,6,1,3,Ruang,Informational,Suasana Perpustakaan,15
95,perpustakaan_pnb,https://www.tiktok.com/@perpustakaan_pnb/video/7334696738529479941?is_from_webapp=1&sender_device=pc,Video,12-Feb-2024,0:00:32,3787,70,0,0,1,Ruang,Relational,Suasana Perpustakaan,
98,perpustakaan_pnb,https://www.tiktok.com/@perpustakaan_pnb/photo/7337655052703763717?is_from_webapp=1&sender_device=pc,Foto,20-Feb-2024,0:00:00,6009,115,0,1,13,Ruang,Relational,Suasana Perpustakaan,15
99,perpustakaan_pnb,https://www.tiktok.com/@perpustakaan_pnb/video/7338022650284969221?is_from_webapp=1&sender_device=pc,Video,21-Feb-2024,0:00:25,2979,27,0,2,2,Ruang,Relational,Suasana Perpustakaan,
100,perpustakaan_pnb,https://www.tiktok.com/@perpustakaan_pnb/video/7338404880723397894?is_from_webapp=1&sender_device=pc,Video,22-Feb-2024,0:00:23,3118,35,0,1,4,Ruang,Relational,Suasana Perpustakaan,
101,perpustakaan_pnb,https://www.tiktok.com/@perpustakaan_pnb/video/7338753569421561093?is_from_webapp=1&sender_device=pc,Video,23-Feb-2024,0:00:15,5025,63,0,0,4,Ruang,Relational,Suasana Perpustakaan,
103,perpustakaan_pnb,https://www.tiktok.com/@perpustakaan_pnb/video/7342860424724991238?is_from_webapp=1&sender_device=pc,Video,5-Mar-2024,0:00:22,3064,25,0,0,1,Ruang,Relational,Suasana Perpustakaan,
105,perpustakaan_pnb,https://www.tiktok.com/@perpustakaan_pnb/photo/7343597359848377605?is_from_webapp=1&sender_device=pc,Foto,7-Mar-2024,0:00:00,8587,137,2,2,12,Ruang,Relational,Suasana Perpustakaan,8
106,perpustakaan_pnb,https://www.tiktok.com/@perpustakaan_pnb/video/7345812084199935238?is_from_webapp=1&sender_device=pc,Video,13-Mar-2024,0:01:22,8015,103,6,3,10,Ruang,Relational,Suasana Perpustakaan,
107,perpustakaan_pnb,https://www.tiktok.com/@perpustakaan_pnb/photo/7346194912079088902?is_from_webapp=1&sender_device=pc,Foto,14-Mar-2024,0:00:00,9134,137,6,4,15,Ruang,Relational,Suasana Perpustakaan,9
108,perpustakaan_pnb,https://www.tiktok.com/@perpustakaan_pnb/photo/7346560144546778373?is_from_webapp=1&sender_device=pc,Foto,15-Mar-2024,0:00:00,37000,625,43,25,68,Ruang,Relational,Suasana Perpustakaan,10
109,perpustakaan_pnb,https://www.tiktok.com/@perpustakaan_pnb/video/7347678427568180485?is_from_webapp=1&sender_device=pc,Video,18-Mar-2024,0:00:20,8348,93,0,4,6,Ruang,Relational,Suasana Perpustakaan,
110,perpustakaan_pnb,https://www.tiktok.com/@perpustakaan_pnb/photo/7348054851760262406?is_from_webapp=1&sender_device=pc,Foto,19-Mar-2024,0:00:00,23500,711,17,22,102,Ruang,Relational,Suasana Perpustakaan,8
111,perpustakaan_pnb,https://www.tiktok.com/@perpustakaan_pnb/video/7348411218828430598?is_from_webapp=1&sender_device=pc,Video,20-Mar-2024,0:00:50,71300,1604,5,50,217,Ruang,Relational,Suasana Perpustakaan,
